Lab Book Number,Polymer Name,Overlap,PNAS number,PNAS biodeg,Biodegradability_yes,,Trimer
PLJ76G,poly(Isosorbide furandicarboxylate),0,,,1,0,[H][C@@]1([C@@]2(OC[C@H]1O)[H])OC[C@@H]2OC(C3=CC=C(C(O[C@@H]4CO[C@@]5([H])[C@@]([H])4OC[C@@H]5OC(C6=CC=C(C(O[C@@H]7CO[C@@]8([H])[C@@]([H])7OC[C@@H]8OC(C9=CC=C(C(O)=O)O9)=O)=O)O6)=O)=O)O3)=O
PLJ12,poly(sorbitol succinate),0,,,0,1,O[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)COC(CCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCC(O)=O)=O)=O)=O)=O)=O
PLJ48D,poly(sorbitol suberate),0,,,0,0,O[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)COC(CCCCCCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCCCCCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCCCCCC(O)=O)=O)=O)=O)=O)=O
PLJ51D,poly(sorbitol azelate),0,,,0,0,O[C@H]([C@H]([C@@H]([C@@H](CO)O)O)O)COC(CCCCCCCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCCCCCCC(OC[C@@H](O)[C@@H](O)[C@H](O)[C@@H](O)COC(CCCCCCCC(O)=O)=O)=O)=O)=O)=O
PLJ76B,poly(xylitol adipate),0,,,0,1,O[C@H]([C@H]([C@@H](COC(CCCCC(OC[C@@H]([C@H]([C@@H](COC(CCCCC(OC[C@@H]([C@H]([C@@H](CO)O)O)O)=O)=O)O)O)O)=O)=O)O)O)COC(CCCCC(O)=O)=O
PLJ85G,poly(curcumin fumarate),0,,,0,1,O=C(CC(/C=C/C1=CC=C(OC(/C=C/C(OC2=CC=C(/C=C/C(CC(/C=C/C3=CC=C(OC(/C=C/C(OC4=CC=C(/C=C/C(CC(/C=C/C5=CC=C(OC(/C=C/C(O)=O)=O)C(OC)=C5)=O)=O)C=C4OC)=O)=O)C(OC)=C3)=O)=O)C=C2OC)=O)=O)C(OC)=C1)=O)/C=C/C6=CC=C(O)C(OC)=C6
PLJ85F,poly(isosorbide fumarate),0,,,1,1,O=C(O[C@H]1CO[C@]2([C@@]1(OC[C@H]2O)[H])[H])/C=C/C(O[C@@H]3CO[C@@]4([H])[C@@]([H])3OC[C@@H]4OC(/C=C/C(O[C@@H]5CO[C@@]6([H])[C@@]([H])5OC[C@@H]6OC(/C=C/C(O)=O)=O)=O)=O)=O
PLJ48B,poly(glycerol suberate),0,,,1,1,O=C(OCC(CO)O)CCCCCCC(OCC(O)COC(CCCCCCC(OCC(O)COC(CCCCCCC(O)=O)=O)=O)=O)=O
PLJ85H,"poly1,3-propylene cyclobutane-1,1-dicarboxylate)",0,,,1,1,O=C(OCCCO)C1(CCC1)C(OCCCOC(C2(CCC2)C(OCCCOC(C3(CCC3)C(O)=O)=O)=O)=O)=O
PLJ47b,poly(PEG400 adipate),0,,,0,1,OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCC(OCCOCCOCCOCCOCCOCCOCCOCCOCCOC(CCCCC(O)=O)=O)=O)=O)=O)=O
